current_location,current_work,previous_work,latest_Education,majro,search_school,major
"New York, New York, United States","Vice President, Machine Learning Center of Excellence at JPMorgan Chase & Co.",Quantitative Associate at JPMorgan Chase & Co.,Brown University,Theoretical Physics,Brown University,
New York City Metropolitan Area,Managing Director and Chief Innovation Officer at Burford Capital,Chief Process & Innovation Officer at Burford Capital,Harvard Law School,Law and Public Policy,Brown University,
"San Francisco, California, United States","VP, ESG Strategy and Engagement at Salesforce","Senior Director, Global Impact at Salesforce",Brown University,Sustainable Management,Brown University,
"Madrid, Community of Madrid, Spain",Vice President Operations at Itaú,Bank Branch Manager at BBVA,Brown University,Economics,Brown University,
"Edmonds, Washington, United States","Director, Data Analytics at WW (formerly Weight Watchers)",Data Scientist at Facebook,University of Pennsylvania,Experimental Psychology,Brown University,
Dallas-Fort Worth Metroplex,Chief Revenue Officer (CRO) at JS Group,Vice President of Sales at Cytracom,Brown University,Technology,Brown University,
Dallas-Fort Worth Metroplex,Chief Revenue Officer (CRO) at JS Group,Vice President of Sales at Cytracom,Brown University,,Brown University,
"Fort Collins, Colorado, United States",President at Pathways Hospice,Senior Director of Patient & Family Support Services at Care Dimensions,1998–2000,Social Work,Brown University,
Greater Boston,"RVP, Growth & Mid-Market Customer Success at Segment","Senior Director, Customer Success at Segment",Brown University,"Commerce, Organizations, and Entrepreneurship",Brown University,
"Hong Kong, Hong Kong SAR",General Manager - Asia Pacific  at Supergoop!,"General Manager, Asia Pacific at Charlotte Tilbury Beauty",INSEAD,"Business Administration and Management, General",Brown University,
"New York, New York, United States",Director Of Data Science at CenterBook Partners LP,Quantitative Risk Analyst at Third Point LLC,Brown University,Computer Science,Brown University,
"Santa Monica, California, United States","Senior Vice President, Strategy & Growth at Golden West Food Group","Senior Advisor & Vice President, Strategy at Golden West Food Group",University of Pennsylvania - The Wharton School,Strategic Management,Brown University,
Denver Metropolitan Area,"Partner at Varana Capital, LLC",Board Member at Fortress Paper Ltd.,1995–1999,Economics,Brown University,
"New York, New York, United States",Sr. Director at Capsule,Senior Director of Operations at S'well,Brown University,"International Relations, Economics",Brown University,
New York City Metropolitan Area,"AVP, Experience Design Strategy at MetLife","Director, Experience Strategy at MetLife",Brown University,International Relations,Brown University,
Greater Chicago Area,Managing Director at Equity International,Associate at HSBC Securities,The University of Chicago - Booth School of Business,"Mathematical Economics, Hispanic Studies",Brown University,
"Vero Beach, Florida, United States",President at CAE Healthcare,"SVP, Head of Strategy & Technology at L3 Technologies",Brown University,,Brown University,
"Brooklyn, New York, United States",CEO and Co-Founder at Thine,"Founder | Owner at SJL Attorney Search, LLC",Georgetown University Law Center,Law,Brown University,
"Roseland, New Jersey, United States",Director Of Product Development at ADP,"Principal Application Architect, Data Analytics at ADP",New York University - Leonard N. Stern School of Business,Product Management; Entrepreneurship & Innovation,Brown University,
San Francisco Bay Area,Director of Sales at LinkedIn,Director of Sales Operations at LinkedIn,Brown University,"English, Economics",Brown University,
"Mt. Laurel, New Jersey, United States",IT Director at ARI,Audit Director at Citigroup,University of Pennsylvania,Finance,Brown University,
"Denver, Colorado, United States","VP of Strategy & Operations at DHI Group, Inc.","Senior Director of Strategy & Operations at DHI Group, Inc.","University of California, Berkeley, Haas School of Business","Economics, Urban Studies",Brown University,
"Louisville, Kentucky, United States","Co-founder, chief communications officer at Cornbread Hemp Co",Bingham Fellow at Leadership Louisville Center,Columbia University - Graduate School of Journalism,book writing and multi-media reporting,Brown University,
"Trabuco Canyon, California, United States",President at Palomar Specialty Holdings,Managing Director at Guy Carpenter,1992–1996,Engineering and Business (OBM),Brown University,
"Los Angeles, California, United States","VP, Business Development at Ritual","Director, Business Development at Ritual",Harvard Business School,Agribusiness,Brown University,
"Århus, Middle Jutland, Denmark",Senior Staff Engineer at the LEGO Group,Senior Developer at The LEGO Group,UNICAMP - Universidade Estadual de Campinas,Computer Vision,Brown University,
"Monmouth Junction, New Jersey, United States",Vice President at Suven Life Sciences Ltd.,Director at Synthon Chiragenics,Brown University,Chemistry,Brown University,
"Teaneck, New Jersey, United States",Co-Founder at Bittsi,"Director, VP Sales and Marketing at Evolva SA",Brown University,"Business Administration and Management, Marketing, Strategy & Management",Brown University,
"Boston, Massachusetts, United States",CFO at Jack Morton Worldwide,CFO at Weber Shandwick,1980–1984,Economics,Brown University,
"Ithaca, New York, United States",Associate Professor of Organizational Behavior at Cornell University,Assistant Professor of Organizational Behavior at Cornell University,Columbia University in the City of New York,Social Psychology,Brown University,
"Portland, Maine Metropolitan Area",President at FocusMaine,Chief Impact Officer at Feeding America,Brown University,Demography and Population Studies | Sociology,Brown University,
"Palm Harbor, Florida, United States","VP, PMO & Transformation at rue21","SVP, Project Management Office (PMO) & Change Management at HSN",Brown University,English / Communications,Brown University,
"Providence, Rhode Island, United States",Member at HYPCCCYCL,Co-Founder // Marketing Director at Curate,Quantic School of Business and Technology,Anthropology,Brown University,
"Atlanta, Georgia, United States","Airport Manager, Marketing & Brand Services at Hartsfield-Jackson Atlanta International Airport",Marketing & Media Consultant at Entercom,Brown University,African-American Studies/Communications & Media,Brown University,
New York City Metropolitan Area,Director Of Innovation at Utopus Insights,IBM Distinguished Research Staff Member Emeritus at IBM,Brown University,Physics,Brown University,
"New York, New York, United States",Senior Director of Data Science at Stash,Director Of Analytics at Stash,Brown University,Applied Mathematics,Brown University,
"San Francisco, California, United States",Product Manager at OpenAI,Technical Program Manager at OpenAI,Carnegie Mellon University's College of Engineering,Product Development,Brown University,
"Boston, Massachusetts, United States",Director of Development at Lincoln Property Company Boston,"Associate, Development at CIM Group, L.P.",Brown University,"Commerce, Organizations, and Entrepreneurship",Brown University,
"New York, New York, United States",Head of Commercial Product and Program Management at S&P Global Market Intelligence,"Director, Commercial Strategy at S&P Global Market Intelligence",Brown University,Economics,Brown University,
"New York, New York, United States",Founder and Co-Managing Partner at Franchise Equity Partners,Partner at Goldman Sachs,Harvard Business School,"Business Administration and Management, General",Brown University,
"Washington, District of Columbia, United States","President & Chief Executive Officer at Rising Sun Advisors, LLC","Managing Director, Information Risk at BNY Mellon",Brown University,Information Technology: Concentration in Information Security,Brown University,
New York City Metropolitan Area,Founder/CEO and Chief Investment Officer at Force Hill Capital Management LP,Technology Investor at Owenoke Capital Management,Brown University,Economics with Honors Distinction,Brown University,
"Portland, Oregon Metropolitan Area","Senior Director, Network and Product Implementation at Alignment Healthcare",Director: Product Management at Regence BlueCross BlueShield of Oregon,"Wharton School, University of Pennsylvania",Health Care Management,Brown University,
Greater Boston,"Director, Global Planning and Analysis at The Northwest Group, LLC",Head of Demand and Supply Planning/Head of Domestic Manufacturing at '47,Brown University,History,Brown University,
"San Francisco, California, United States","Senior Director - Sensors, Metrology & Software (SMS) Division at Applied Materials","Director, Data Science and Analytics at Applied Materials",Brown University,Computer Science,Brown University,
"Frankfurt, Hesse, Germany",Executive Director at Rantum Capital,Managing Director at Family Office,Brown University,Public Policy,Brown University,
"New York, New York, United States",Strategic Advisor at We Are Fluide,Partner at Meekara,Brown University,Gender Studies,Brown University,
